epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6834,3.58942,6.02185,0,11.1748,0.01739,59.3793,0.00084,0.11262,0.00078,0.00018,0.0013,0.15866,0.00089,0.00024,3.10843,4.50628,0,10.0141,0.01678,0,0.000184851,0.000184851,0.000184851
2,85.2291,2.88042,3.47022,0,6.12714,0.01056,8.1532,0.07695,0.14995,0.03615,0.01351,0.0704,0.13689,0.0332,0.02123,2.35296,2.77693,0,5.60323,0.01079,0,0.000366519,0.000366519,0.000366519
3,126.618,2.43661,2.60875,0,4.10167,0.00823,6.83498,0.09155,0.22815,0.06171,0.02405,0.08206,0.21361,0.05378,0.04134,2.01213,2.09842,0,4.04392,0.00891,0,0.000544518,0.000544518,0.000544518
4,167.8,2.22822,2.22795,0,3.36061,0.00711,6.23968,0.20444,0.23049,0.11149,0.05685,0.09808,0.22061,0.09749,0.0807,1.78997,1.79423,0,3.37584,0.00775,0,0.000539487,0.000539487,0.000539487
5,209.151,2.1261,2.07233,0,3.0258,0.0067,5.84966,0.14746,0.24665,0.1308,0.07044,0.12935,0.22637,0.11566,0.09553,1.78503,1.69579,0,3.07382,0.00759,0,0.000533982,0.000533982,0.000533982
6,249.908,2.03339,2.00516,0,2.76637,0.00637,5.63656,0.26258,0.29072,0.15194,0.07902,0.23739,0.25915,0.12975,0.10933,1.73436,1.73756,0,2.90704,0.00768,0,0.000528478,0.000528478,0.000528478
7,290.779,2.01173,1.84267,0,2.58517,0.0062,5.18003,0.31184,0.33093,0.23393,0.12309,0.28523,0.30028,0.18801,0.16239,1.74738,1.76187,0,2.60877,0.00807,0,0.000522974,0.000522974,0.000522974
8,331.829,1.93051,1.65634,0,2.42275,0.00605,4.44207,0.3005,0.3805,0.2775,0.14982,0.2459,0.33462,0.20856,0.17692,1.61899,1.66169,0,2.44478,0.00719,0,0.000517469,0.000517469,0.000517469
9,372.538,1.92281,1.61731,0,2.29765,0.00586,3.95502,0.34659,0.44506,0.3284,0.17732,0.28578,0.38532,0.25104,0.22344,1.57457,1.5526,0,2.35459,0.00699,0,0.000511965,0.000511965,0.000511965
10,413.203,1.85303,1.51613,0,2.17668,0.00565,3.61727,0.4186,0.45959,0.40149,0.21789,0.3362,0.40382,0.30077,0.27157,1.57412,1.4826,0,2.1701,0.00701,0,0.00050646,0.00050646,0.00050646
11,453.856,1.83199,1.50117,0,2.10048,0.00556,3.54572,0.38062,0.47315,0.39584,0.20772,0.3184,0.35107,0.2785,0.24808,1.59816,1.66952,0,2.22964,0.00703,0,0.000500956,0.000500956,0.000500956
12,494.275,1.81953,1.48773,0,2.04158,0.00549,3.35454,0.45513,0.46269,0.44422,0.24645,0.39353,0.41123,0.34564,0.30748,1.55433,1.4964,0,2.08204,0.00706,0,0.000495452,0.000495452,0.000495452
13,535.021,1.80268,1.44203,0,1.96603,0.00554,3.24965,0.51811,0.48403,0.49474,0.28245,0.42897,0.41316,0.36681,0.32973,1.54926,1.4875,0,1.97061,0.00697,0,0.000489947,0.000489947,0.000489947
14,575.624,1.77211,1.41722,0,1.91416,0.00536,3.06896,0.53673,0.49197,0.51023,0.30222,0.46057,0.42203,0.38882,0.35232,1.4827,1.41143,0,1.9692,0.00661,0,0.000484443,0.000484443,0.000484443
15,616.229,1.74818,1.42739,0,1.86104,0.00514,2.94366,0.53442,0.5003,0.51635,0.30918,0.485,0.42341,0.41842,0.38008,1.47207,1.57669,0,1.93152,0.00672,0,0.000478938,0.000478938,0.000478938
16,656.773,1.72593,1.35677,0,1.79803,0.00501,2.73673,0.55195,0.50484,0.54003,0.31298,0.46138,0.43939,0.41057,0.36705,1.51743,1.54772,0,1.90373,0.00699,0,0.000473434,0.000473434,0.000473434
17,697.269,1.72402,1.36813,0,1.77724,0.00502,2.80671,0.61179,0.49049,0.56872,0.33866,0.52108,0.40536,0.43211,0.38918,1.49871,1.49021,0,1.79006,0.00683,0,0.00046793,0.00046793,0.00046793
18,737.898,1.7118,1.29066,0,1.75457,0.00502,2.57229,0.58548,0.54309,0.57558,0.34677,0.52509,0.48215,0.47631,0.43319,1.48033,1.35358,0,1.78014,0.0066,0,0.000462425,0.000462425,0.000462425
19,778.448,1.70728,1.26472,0,1.70856,0.00492,2.48891,0.62544,0.53219,0.60038,0.36487,0.52045,0.44757,0.45306,0.40394,1.44626,1.50392,0,1.72049,0.00661,0,0.000456921,0.000456921,0.000456921
20,819.29,1.69565,1.2991,0,1.67992,0.00489,2.45225,0.6264,0.57482,0.62494,0.37887,0.51473,0.4754,0.46486,0.41474,1.46616,1.48014,0,1.71318,0.00657,0,0.000451416,0.000451416,0.000451416
